Date,Open,Close,High,Low,Volume,Adj Close
2019-01-02,6198.68017578125,6360.8701171875,6394.740234375,6198.68017578125,2261800000,6360.8701171875
2019-01-03,6274.759765625,6147.1298828125,6292.68017578125,6139.39990234375,2631550000,6147.1298828125
2019-01-04,6250.0498046875,6422.669921875,6445.2001953125,6234.58984375,2596150000,6422.669921875
2019-01-07,6434.5498046875,6488.25,6521.43994140625,6412.97998046875,2523450000,6488.25
2019-01-08,6555.91015625,6551.85009765625,6574.72998046875,6457.0,2407340000,6551.85009765625
2019-01-09,6576.5400390625,6600.68994140625,6631.06005859375,6549.43994140625,2434500000,6600.68994140625
2019-01-10,6551.0498046875,6620.93994140625,6625.10986328125,6517.5400390625,2190110000,6620.93994140625
2019-01-11,6579.89013671875,6601.39990234375,6604.56005859375,6562.0400390625,2074310000,6601.39990234375
2019-01-14,6536.3701171875,6541.0400390625,6566.8701171875,6512.64013671875,1960780000,6541.0400390625
2019-01-15,6571.14990234375,6669.64013671875,6674.52978515625,6567.31982421875,2066090000,6669.64013671875
2019-01-16,6677.3798828125,6668.56005859375,6720.41015625,6665.0498046875,2163730000,6668.56005859375
2019-01-17,6646.18994140625,6718.4501953125,6747.27978515625,6637.10009765625,2149280000,6718.4501953125
2019-01-18,6771.52001953125,6784.60986328125,6816.22998046875,6727.93994140625,2459920000,6784.60986328125
2019-01-22,6736.64990234375,6646.81005859375,6738.56982421875,6603.56005859375,2397660000,6646.81005859375
2019-01-23,6689.080078125,6658.759765625,6712.85986328125,6584.5,2288090000,6658.759765625
2019-01-24,6680.33984375,6702.5498046875,6710.72998046875,6656.52001953125,2419110000,6702.5498046875
2019-01-25,6755.669921875,6787.3701171875,6800.97021484375,6733.31982421875,2446550000,6787.3701171875
2019-01-28,6691.83984375,6697.08984375,6697.52978515625,6644.31005859375,2448790000,6697.08984375
2019-01-29,6695.7099609375,6632.7900390625,6701.47021484375,6613.419921875,2106370000,6632.7900390625
2019-01-30,6708.56005859375,6807.91015625,6826.919921875,6688.330078125,2569410000,6807.91015625
2019-01-31,6840.93017578125,6906.83984375,6936.33984375,6837.919921875,2947490000,6906.83984375
2019-02-01,6872.72998046875,6875.52001953125,6921.9501953125,6857.31005859375,2398800000,6875.52001953125
2019-02-04,6876.56005859375,6959.9599609375,6960.97021484375,6872.60009765625,2106030000,6959.9599609375
