Date,Open,Close,High,Low,Volume,Adj Close
2021-10-01,14702.25,14761.75,14818.0,14537.0,663413,14761.75
2021-10-04,14785.0,14462.25,14835.0,14367.75,802849,14462.25
2021-10-05,14493.75,14655.25,14754.75,14410.5,574640,14655.25
2021-10-06,14662.0,14759.0,14770.0,14422.5,756883,14759.0
2021-10-07,14768.0,14881.25,15001.25,14767.0,492756,14881.25
2021-10-08,14891.25,14808.25,14996.0,14790.75,550607,14808.25
2021-10-11,14810.25,14700.5,14897.25,14677.0,510490,14700.5
2021-10-12,14688.5,14653.25,14783.25,14585.5,599367,14653.25
2021-10-13,14594.0,14764.25,14795.75,14591.0,556059,14764.25
2021-10-14,14770.25,15037.25,15071.5,14767.5,425055,15037.25
2021-10-15,15063.75,15134.5,15145.0,15020.75,442893,15134.5
2021-10-18,15145.0,15290.5,15297.25,15038.75,423424,15290.5
2021-10-19,15289.75,15398.5,15428.25,15269.0,384792,15398.5
2021-10-20,15411.0,15377.5,15446.5,15319.0,451735,15377.5
2021-10-21,15357.5,15478.75,15483.75,15301.0,436644,15478.75
2021-10-22,15383.0,15341.0,15463.5,15273.75,545390,15341.0
2021-10-25,15324.25,15495.75,15546.0,15295.75,456009,15495.75
2021-10-26,15543.0,15545.0,15701.0,15503.0,586099,15545.0
2021-10-27,15532.25,15587.25,15717.5,15507.25,534474,15587.25
2021-10-28,15595.0,15764.75,15777.0,15591.75,498210,15764.75
2021-10-29,15679.75,15838.5,15864.75,15595.5,484693,15838.5
2021-11-01,15885.25,15894.25,15914.75,15768.5,411507,15894.25
2021-11-02,15891.0,15961.25,15980.25,15849.5,418550,15961.25
2021-11-03,15957.75,16129.75,16145.75,15935.25,448135,16129.75
2021-11-04,16129.5,16330.75,16376.0,16129.5,524361,16330.75
2021-11-05,16335.0,16351.75,16448.5,16292.0,525824,16351.75
2021-11-08,16293.0,16327.75,16394.0,16256.0,414326,16327.75
2021-11-09,16315.5,16212.75,16391.75,16160.0,560749,16212.75
2021-11-10,16201.25,15980.5,16243.0,15896.5,658266,15980.5
2021-11-11,15989.0,16022.75,16114.0,15976.0,434778,16022.75
2021-11-12,16043.75,16192.75,16213.25,16001.75,422493,16192.75
2021-11-15,16212.25,16187.75,16276.5,16082.25,483873,16187.75
2021-11-16,16198.5,16300.75,16323.75,16142.0,424380,16300.75
